mandal,date,year,month,week,rainfall,temp_min,temp_max,humidity_min,humidity_max
Achampet,2018-01-07,2018,Jan,1,0.0,17.01428571428571,31.60714285714286,29.35,76.95714285714287
Achampet,2018-01-14,2018,Jan,2,0.0,17.50714285714286,31.80142857142857,31.81428571428572,80.72142857142856
Achampet,2018-01-21,2018,Jan,3,0.0,16.03571428571428,32.9,27.21428571428572,80.25
Achampet,2018-01-28,2018,Jan,4,0.0,16.42142857142857,32.16428571428572,26.97142857142857,77.94285714285715
Achampet,2018-02-04,2018,Feb,5,0.0,15.42857142857143,32.70714285714286,18.80714285714286,62.48571428571428
Achampet,2018-02-11,2018,Feb,6,0.09999999999999999,18.77142857142857,33.13571428571429,24.16428571428571,73.78571428571429
Achampet,2018-02-18,2018,Feb,7,0.06428571428571428,18.65714285714285,33.35714285714285,28.58571428571429,71.17857142857143
Achampet,2018-02-25,2018,Feb,8,0.0,17.82857142857143,35.25,19.22142857142857,61.11428571428571
Achampet,2018-03-04,2018,Mar,9,0.0,19.03571428571428,36.75714285714286,12.52142857142857,49.92142857142857
Achampet,2018-03-11,2018,Mar,10,0.0,19.36428571428572,37.28571428571428,11.65714285714286,48.45
Achampet,2018-03-18,2018,Mar,11,3.114285714285714,22.05714285714286,35.65,23.67142857142857,69.35714285714286
Achampet,2018-03-25,2018,Mar,12,0.0,22.76428571428571,37.02857142857142,18.11428571428571,63.52142857142857
Achampet,2018-04-01,2018,Apr,13,0.09999999999999999,23.75714285714286,37.28571428571428,20.30714285714286,62.55
Achampet,2018-04-08,2018,Apr,14,0.8428571428571429,23.25714285714286,37.00714285714286,26.84285714285715,75.61428571428571
Achampet,2018-04-15,2018,Apr,15,0.06428571428571428,24.34285714285715,37.3,23.87142857142857,64.97857142857143
Achampet,2018-04-22,2018,Apr,16,0.07857142857142858,27.0,39.42857142857143,19.29285714285714,55.54285714285714
Achampet,2018-04-29,2018,Apr,17,0.1214285714285714,26.38571428571428,40.33571428571429,19.49285714285714,57.29285714285714
Achampet,2018-05-06,2018,May,18,0.8571428571428571,26.71428571428572,39.88571428571429,24.81428571428571,64.04285714285714
Achampet,2018-05-13,2018,May,19,0.05714285714285715,27.52142857142857,40.03571428571428,23.62142857142857,59.04285714285714
